Niche	SH0736260.10FU	SH0730983.10FU	SH0730975.10FU	SH1002406.10FU	All samples
Soil	10662	10973	7692	3128	37828
Topsoil	4325	274	230	818	6923
Water	55	89	96	34	1549
Air	31	293	358	29	2080
Coral	0	12	0	0	72
Deadwood	58	9	9	11	2253
Fungal sporocarp	0	8	9	1	31
Lichen	0	0	0	1	317
Dust	7	27	26	0	53
Litter	17	16	11	22	1406
Mosses	1	0	0	29	265
Rhizosphere soil	1112	973	1108	311	2530
Root	1393	1052	878	271	15865
Root+Rhizosphere soil	409	79	8	144	635
Sediment	83	228	108	5	1422
Shoot	249	664	784	178	11740
