id,paper,permanent_id,host,sample_type,latitude,longitude,continent,year_of_sampling_from,year_of_sampling_to,Biome,primers,MAT,MAP,pH,SOC,ITS_total,manipulated,abundances
262,167,GF05015746S,Elaeis guineensis,rhizosphere soil,3.403,102.028,Asia,2017,2017,cropland,fITS7/ITS4,26.3,2184,4.7,2.5,52978,0,14
365,519,GF03007733S,?,rhizosphere soil,37.8278,-0.76553,Europe,2017,2017,shrubland,ITS86F/ITS4,19.1,266,NA,NA,205923,0,38
407,529,GF03007286S,Fraxinus rhynchophylla,rhizosphere soil,38.0321,128.463,Asia,2018,2018,forest,ITS3/ITS4,8.1,1382,5.4,22.6,167456,0,2
955,529,GF03007287S,Fraxinus rhynchophylla,rhizosphere soil,38.0321,128.463,Asia,2018,2018,forest,ITS3/ITS4,8.1,1382,5.4,22.6,121234,0,3
2456,519,GF03007752S,?,rhizosphere soil,37.8236,-0.97611,Europe,2017,2017,shrubland,ITS86F/ITS4,18.5,264,8.1,1.6,178062,0,19361
3189,382,GF04008465S,Dactylis glomerata,rhizosphere soil,48.402,9.45566,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.8,903,6.1,18.6,75542,0,2
3311,230,GF05010559S,Phragmites australis,rhizosphere soil,42.3089,-84.0569,North America,2016,2016,wetland,5.8S_Fun/ITS4_Fun,9.3,795,6,13.4,47066,0,17
3379,54,GF05024852S,Hevea brasiliensis,rhizosphere soil,22.1287,100.669,Asia,2015,2015,cropland,ITS3/ITS4,22.5,1007,5.7,2.4,34212,0,237
3549,529,GF03007335S,Carpinus cordata,rhizosphere soil,38.0321,128.463,Asia,2018,2018,forest,ITS3/ITS4,8.1,1382,5.4,22.6,175187,0,3
3645,382,GF04008448S,Plantago lanceolata,rhizosphere soil,48.4422,9.35722,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.5,915,6.1,16.2,75743,0,3664
3757,160,GF05016125S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,48159,0,4276
3819,519,GF03007739S,?,rhizosphere soil,37.8236,-0.97611,Europe,2017,2017,shrubland,ITS86F/ITS4,18.5,264,8.1,1.6,164639,0,10
4074,171,GF05015579S,Lophozonia obliqua,rhizosphere soil,-38.6607,-72.6,South America,2020,2020,forest,ITS3/ITS4,11.6,1382,5.2,7.6,115653,0,1
4272,547,GF03006361S,Camellia sinensis,rhizosphere soil,25.3,117.87,Asia,2015,2015,cropland,ITS3/ITS4,19.1,1518,5.8,14.6,29204,0,1
4629,323,GF05000735S,Erigeron canadensis,rhizosphere soil,29.06,121.68,Asia,2016,2016,grassland,ITS3/ITS4,18,1509,NA,NA,8588,0,81
4930,382,GF04008454S,Dactylis glomerata,rhizosphere soil,48.4395,9.42525,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.2,944,5.3,18.1,95315,0,48
4993,528,GF03007395S,Thymus zygis,rhizosphere soil,37.007,-2.98583,Europe,2014,2014,shrubland,ITS86F/ITS4,13.2,446,7.3,2.4,175677,0,11
5125,409,GF04005546S,?,rhizosphere soil,51.77,-1.32,Europe,2014,2014,grassland,fITS7/ITS4,9.9,707,5.8,14.1,15723,0,4
5271,409,GF04005523S,?,rhizosphere soil,51.78,-1.32,Europe,2014,2014,grassland,fITS7/ITS4,10.1,642,6,11.2,31076,0,23
5320,519,GF03007742S,?,rhizosphere soil,37.8278,-0.76553,Europe,2017,2017,shrubland,ITS86F/ITS4,19.1,266,NA,NA,209645,0,77
5551,528,GF03007403S,Thymus zygis,rhizosphere soil,36.9241,-3.35483,Europe,2014,2014,shrubland,ITS86F/ITS4,13.7,498,7.3,2.4,123834,0,2
5801,382,GF04008449S,Plantago lanceolata,rhizosphere soil,48.4044,9.51342,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.4,993,6.2,11.8,63328,0,1
6074,643,GF02000047S,Populus trichocarpa x deltoides,rhizosphere soil,35.84,-83.96,North America,2014,2014,forest,ITS3/ITS4,14.9,1192,5.7,5.7,290741,0,57
6105,41,GF05026756S,Magnolia sinica,rhizosphere soil,23.6724,105.34,Asia,2018,2018,woodland,ITS3/ITS4,16,1230,6,11.9,45689,0,2
6161,643,GF02000048S,Populus trichocarpa x deltoides,rhizosphere soil,35.84,-83.96,North America,2014,2014,forest,ITS3/ITS4,14.9,1192,5.7,5.7,212418,0,672
6166,160,GF05016085S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,37708,0,11
6318,599,GF02006888S,Boehmeria nivea,rhizosphere soil,29.3667,112.6,Asia,2016,2016,cropland,fITS7/ITS4,17.8,1295,6.6,15.9,66508,0,17
6389,643,GF02000046S,Populus trichocarpa x deltoides,rhizosphere soil,35.84,-83.96,North America,2014,2014,forest,ITS3/ITS4,14.9,1192,5.7,5.7,135097,0,6
6390,160,GF05016120S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,38031,0,54
6424,160,GF05016088S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,24361,0,59
6480,643,GF02000045S,Populus trichocarpa x deltoides,rhizosphere soil,35.84,-83.96,North America,2014,2014,forest,ITS3/ITS4,14.9,1192,5.7,5.7,52454,0,3
6486,54,GF05024858S,Hevea brasiliensis,rhizosphere soil,22.1287,100.669,Asia,2014,2014,cropland,ITS3/ITS4,22.5,1007,5.8,2,44972,0,272
6547,160,GF05016121S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,46478,0,28
6630,160,GF05016082S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,53877,0,854
6763,160,GF05016079S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,29103,0,17
6904,529,GF03007306S,Fraxinus rhynchophylla,rhizosphere soil,38.0321,128.463,Asia,2018,2018,forest,ITS3/ITS4,8.1,1382,5.4,22.6,135429,0,42
6925,171,GF05015577S,Lophozonia obliqua,rhizosphere soil,-38.6607,-72.6,South America,2020,2020,forest,ITS3/ITS4,11.6,1382,5.2,7.6,149448,0,1
7150,230,GF05010586S,Phragmites australis,rhizosphere soil,45.9108,-84.7383,North America,2016,2016,wetland,5.8S_Fun/ITS4_Fun,6,740,6.3,14.7,92888,0,55
7266,519,GF03007745S,?,rhizosphere soil,37.8278,-0.76553,Europe,2017,2017,shrubland,ITS86F/ITS4,19.1,266,NA,NA,201764,0,3
7402,114,GF05019987S,?,rhizosphere soil,52.0425,5.77472,Europe,2012,2012,grassland,ITS9/ITS4,10,832,4.6,18.4,49762,0,14
7646,227,GF05010981S,Camellia yuhsienensis,rhizosphere soil,27.0333,113.333,Asia,2018,2018,forest,ITS3_KYO2/ITS4,19,1503,6.6,13,125723,0,1
7874,230,GF05010571S,Phragmites australis,rhizosphere soil,45.6575,-84.4711,North America,2016,2016,wetland,5.8S_Fun/ITS4_Fun,6.3,715,6.3,15.6,39374,0,2
8201,382,GF04008455S,Plantago lanceolata,rhizosphere soil,48.3959,9.4392,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.8,903,5.7,13,86221,0,805
8268,382,GF04008453S,Dactylis glomerata,rhizosphere soil,48.4873,9.44865,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.5,1059,5.7,11.3,75024,0,44
8864,160,GF05016084S,Nicotiana tabacum,rhizosphere soil,25.7886,112.621,Asia,2016,2016,cropland,5.8S_Fun/ITS4_Fun,19,1533,6.4,12.6,45107,0,50
8898,382,GF04008450S,Dactylis glomerata,rhizosphere soil,48.3959,9.4392,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.8,903,5.7,13,74423,0,204
8976,382,GF04008451S,Plantago lanceolata,rhizosphere soil,48.378,9.435,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.9,874,5.8,16.3,95521,0,3387
9108,382,GF04008446S,Dactylis glomerata,rhizosphere soil,48.4044,9.51342,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.4,993,6.2,11.8,66499,0,2
9235,489,GF03009514S,Glycine max,rhizosphere soil,42.3,118.92,Asia,2015,2015,cropland,ITS3/ITS4,7.6,341,8.7,1.5,6156,0,6
9265,171,GF05015575S,Nothofagus obliqua,rhizosphere soil,-38.6583,-72.6003,South America,2020,2020,forest,ITS3/ITS4,11.5,1407,5.1,7.7,172940,0,1
9398,382,GF04008452S,Plantago lanceolata,rhizosphere soil,48.4013,9.45795,Europe,2015,2015,grassland,ITS1F/ITS4 then fITS7/ITS4,7.8,903,5.9,17.1,91260,0,502
