id,paper,permanent_id,host,sample_type,latitude,longitude,continent,year_of_sampling_from,year_of_sampling_to,Biome,primers,MAT,MAP,pH,SOC,ITS_total,manipulated,abundances
173,731,GF01010889S,Centaurea jacea,root + rhizosphere soil,48.3275,13.2339,Europe,2014,2014,grassland,fITS9/ITS4,9.9,775,7,7.5,44307,0,10
488,731,GF01010892S,Dittrichia graveolens,root + rhizosphere soil,48.5222,13.4575,Europe,2014,2014,grassland,fITS9/ITS4,9.8,790,5.7,17.7,59314,0,1
1315,731,GF01011152S,Lactuca serriola,root + rhizosphere soil,42.5708,19.2817,Europe,2014,2014,grassland,fITS9/ITS4,10.1,2019,6.4,8.7,38078,0,3
1667,731,GF01010895S,Lactuca serriola,root + rhizosphere soil,42.565,19.3714,Europe,2014,2014,grassland,fITS9/ITS4,11.7,1839,6.8,8.7,40080,0,1
2143,731,GF01010897S,Rorippa sylvestris,root + rhizosphere soil,50.3087,8.60943,Europe,2014,2014,grassland,fITS9/ITS4,8.8,822,5.8,15.3,47137,0,9
5076,644,GF02000012S,Cistanthe longiscapa,root + rhizosphere soil,-27.4676,-70.8394,South America,2016,2016,desert,fITS9/ITS4,16.8,26,8.2,0,161040,0,2401
7076,731,GF01010904S,?,root + rhizosphere soil,52.0175,5.97667,Europe,2013,2013,grassland,fITS9/ITS4,9.7,887,4.3,21.9,17977,0,31
7975,731,GF01010913S,Lactuca serriola,root + rhizosphere soil,46.0778,14.9097,Europe,2014,2014,grassland,fITS9/ITS4,9.9,1252,6.1,14.8,24822,0,3
8662,731,GF01011332S,Dittrichia graveolens,root + rhizosphere soil,50.1108,8.70753,Europe,2014,2014,grassland,fITS9/ITS4,10.5,669,6.9,6.2,11491,0,2
9408,731,GF01010905S,Dittrichia graveolens,root + rhizosphere soil,52.198,5.83,Europe,2014,2014,grassland,fITS9/ITS4,9.7,895,4.2,24.3,48421,0,1
9952,731,GF01010917S,?,root + rhizosphere soil,52.0422,6.02083,Europe,2013,2013,grassland,fITS9/ITS4,9.7,854,4.3,20.6,38880,0,23
10664,731,GF01010912S,Lactuca serriola,root + rhizosphere soil,52.0928,6.16028,Europe,2014,2014,grassland,fITS9/ITS4,10.1,777,5.5,9.3,37422,0,4
10710,731,GF01010908S,Centaurea stoebe,root + rhizosphere soil,50.1586,8.82167,Europe,2014,2014,grassland,fITS9/ITS4,10.1,768,6.5,6.3,28853,0,1
12051,731,GF01010935S,?,root + rhizosphere soil,46.2044,14.8092,Europe,2013,2013,grassland,fITS9/ITS4,7.5,1532,5.5,22.2,9951,0,226
12280,731,GF01011188S,?,root + rhizosphere soil,52.0422,6.02083,Europe,2013,2013,grassland,fITS9/ITS4,9.7,854,4.3,20.6,27746,0,1
12563,731,GF01010938S,Rorippa sylvestris,root + rhizosphere soil,46.0056,14.7458,Europe,2013,2013,grassland,fITS9/ITS4,9.2,1674,6.1,18,8433,0,36
14942,731,GF01010960S,Lactuca serriola,root + rhizosphere soil,50.3098,8.59462,Europe,2014,2014,grassland,fITS9/ITS4,8.7,821,5.7,14.1,55127,0,260
15166,731,GF01010946S,Dittrichia graveolens,root + rhizosphere soil,48.4022,14.4189,Europe,2014,2014,grassland,fITS9/ITS4,8.4,706,5.9,6.8,40087,0,10
17380,731,GF01011022S,Dittrichia graveolens,root + rhizosphere soil,48.3833,13.6472,Europe,2014,2014,grassland,fITS9/ITS4,9.6,983,6.1,20,28748,0,4
19427,731,GF01010970S,?,root + rhizosphere soil,52.198,5.83,Europe,2014,2014,grassland,fITS9/ITS4,9.7,895,4.2,24.3,11449,0,14
19549,731,GF01011314S,?,root + rhizosphere soil,52.0422,6.02083,Europe,2013,2013,grassland,fITS9/ITS4,9.7,854,4.3,20.6,16169,0,1
19850,731,GF01010959S,Rapistrum rugosum,root + rhizosphere soil,40.7319,23.0086,Europe,2014,2014,grassland,fITS9/ITS4,15.7,511,7.5,3.6,52543,0,53
20571,731,GF01010982S,Lactuca serriola,root + rhizosphere soil,42.5708,19.2817,Europe,2014,2014,grassland,fITS9/ITS4,10.1,2019,6.4,8.7,16921,0,1
20719,731,GF01010948S,?,root + rhizosphere soil,52.0422,6.02083,Europe,2013,2013,grassland,fITS9/ITS4,9.7,854,4.3,20.6,37456,0,2
21683,731,GF01010995S,?,root + rhizosphere soil,52.0422,6.02083,Europe,2013,2013,grassland,fITS9/ITS4,9.7,854,4.3,20.6,17121,0,2
21905,731,GF01010974S,Rorippa sylvestris,root + rhizosphere soil,48.465,14.4389,Europe,2014,2014,grassland,fITS9/ITS4,8.3,636,5.7,12.7,14661,0,214
23899,731,GF01011015S,Lactuca serriola,root + rhizosphere soil,51.9353,5.69861,Europe,2014,2014,grassland,fITS9/ITS4,10.2,795,5.5,9.9,16012,0,61
24182,731,GF01011565S,Centaurea jacea,root + rhizosphere soil,43.3958,19.5494,Europe,2014,2014,grassland,fITS9/ITS4,7.3,1032,6,15.3,29309,0,2
24186,731,GF01011578S,Centaurea stoebe,root + rhizosphere soil,48.3275,13.2339,Europe,2014,2014,grassland,fITS9/ITS4,9.9,775,7,7.5,5247,0,1
24188,731,GF01011063S,?,root + rhizosphere soil,40.0072,21.2981,Europe,2013,2013,grassland,fITS9/ITS4,12.4,678,6.8,5.1,25377,0,1
24189,731,GF01011150S,Rorippa sylvestris,root + rhizosphere soil,42.4283,19.1764,Europe,2014,2014,grassland,fITS9/ITS4,15.3,1896,6.9,8.2,4067,0,1
24272,731,GF01011019S,Dittrichia graveolens,root + rhizosphere soil,51.7544,5.84493,Europe,2014,2014,grassland,fITS9/ITS4,10.3,771,6.5,8.6,15270,0,1
24637,731,GF01011026S,Rorippa sylvestris,root + rhizosphere soil,50.3087,8.60943,Europe,2014,2014,grassland,fITS9/ITS4,8.8,822,5.8,15.3,22965,0,7
24901,731,GF01011368S,Lactuca serriola,root + rhizosphere soil,50.1419,8.06238,Europe,2014,2014,grassland,fITS9/ITS4,8.8,580,6.1,13.9,3863,0,4
25119,731,GF01011049S,Rorippa sylvestris,root + rhizosphere soil,50.3087,8.60943,Europe,2014,2014,grassland,fITS9/ITS4,8.8,822,5.8,15.3,36326,0,1
25127,731,GF01011041S,Rorippa austriaca,root + rhizosphere soil,48.3722,14.2911,Europe,2014,2014,grassland,fITS9/ITS4,8.6,719,5.6,14.2,45669,0,1
25144,731,GF01011043S,Rorippa sylvestris,root + rhizosphere soil,50.3086,8.60457,Europe,2014,2014,grassland,fITS9/ITS4,8.7,814,5.9,15.3,13963,0,4
25166,731,GF01011051S,Dittrichia graveolens,root + rhizosphere soil,50.1117,8.716,Europe,2014,2014,grassland,fITS9/ITS4,10.5,657,7,6.1,3694,0,8
25168,731,GF01011045S,Lactuca serriola,root + rhizosphere soil,42.3519,19.25,Europe,2014,2014,grassland,fITS9/ITS4,15.5,1661,6.7,9,12855,0,276
25191,731,GF01011047S,Dittrichia graveolens,root + rhizosphere soil,42.6969,19.3114,Europe,2014,2014,grassland,fITS9/ITS4,5.9,2506,5.8,17.2,4990,0,4
26679,731,GF01011071S,Centaurea jacea,root + rhizosphere soil,48.4378,13.3753,Europe,2014,2014,grassland,fITS9/ITS4,10,795,6.6,7.9,7738,0,1
27713,731,GF01011083S,Rorippa sylvestris,root + rhizosphere soil,48.4958,13.4222,Europe,2014,2014,grassland,fITS9/ITS4,9.7,876,5.7,17.3,9057,0,2
28018,731,GF01011089S,Dittrichia graveolens,root + rhizosphere soil,42.4644,19.2875,Europe,2014,2014,grassland,fITS9/ITS4,15.1,1497,6.9,7.7,23768,0,1
28131,731,GF01011093S,Rorippa sylvestris,root + rhizosphere soil,48.465,14.4389,Europe,2014,2014,grassland,fITS9/ITS4,8.3,636,5.7,12.7,7299,0,1
28144,731,GF01011095S,Rorippa sylvestris,root + rhizosphere soil,48.465,14.4389,Europe,2014,2014,grassland,fITS9/ITS4,8.3,636,5.7,12.7,8252,0,114
28159,731,GF01011091S,Centaurea stoebe,root + rhizosphere soil,48.2878,13.1769,Europe,2014,2014,grassland,fITS9/ITS4,10,819,6.3,10,11341,0,5
28168,731,GF01011092S,Dittrichia graveolens,root + rhizosphere soil,46.4247,14.8253,Europe,2014,2014,grassland,fITS9/ITS4,4.2,1600,4.7,24.1,30380,0,9
