Fungus,Hedges' g,mean SFW,HostGroup,PhyloGroup
P34,-2.112265400730088,0.0076375,Fabaceae,subsp1
P39,-2.0289436489076755,0.007662499999999994,Cucurbitaceae,subsp1
P17,-1.9455678719937795,0.00965625,Not plant-isolated,subsp1
P455,-1.930148310551707,0.010175,Brassicaceae,subsp1
P11,-1.7900874143396077,0.012124999999999988,Monocots,subsp2
P33,-1.7856518574146427,0.011687499999999993,Fabaceae,subsp1
P15,-1.7189605365620284,0.012493749999999988,Other dicots,subsp1
P10,-1.6398876624552485,0.014413333333333327,Other dicots,subsp2
P46,-1.6238730971860615,0.014243750000000001,Unknown,subsp2
P55,-1.5508901188840547,0.01558124999999999,Cucurbitaceae,subsp2
P56,-1.521857781806879,0.015506666666666651,Solanaceae,subsp2
P57,-1.4748825104304288,0.01621875,Cucurbitaceae,subsp2
P7,-1.4661098666737145,0.01579999999999999,Cucurbitaceae,subsp2
P9,-1.4418131120876962,0.01744666666666666,Other dicots,subsp2
P8,-1.397851647333808,0.016481249999999985,Not plant-isolated,subsp2
P340,-1.3677286476239605,0.01821333333333334,Brassicaceae,subsp1
P19,-1.351225662747157,0.017993333333333316,Brassicaceae,subsp1
P42,-1.3062593375229465,0.019525,Marchantiaceae,subsp1
P3,-1.2906858529555834,0.018799999999999994,Solanaceae,subsp2
P62,-1.2624978430892313,0.018537500000000002,Cucurbitaceae,subsp2
P23,-1.257184515776799,0.020349999999999993,Not plant-isolated,notInSubsp
P38,-1.23110982877266,0.020012499999999992,Cucurbitaceae,subsp1
P6,-1.2289087460736443,0.020593749999999994,Other dicots,subsp1
P35,-1.1934299485244941,0.020843749999999994,Cucurbitaceae,subsp1
P58,-1.1917352154905774,0.02094375,Brassicaceae,subsp2
P13,-1.1901571525571477,0.02064374999999998,Other dicots,subsp2
P2,-1.1661891081925808,0.021233333333333333,Other dicots,subsp2
P36,-1.1453885435791054,0.0204875,Cucurbitaceae,subsp1
P612,-1.1277589722085757,0.02117333333333332,Brassicaceae,subsp1
P25,-1.123854390334965,0.02199375,Brassicaceae,subsp1
P27,-1.1156926080181324,0.022,Brassicaceae,subsp1
P1,-1.1139829270438815,0.022275000000000003,Not plant-isolated,subsp2
P24,-1.108741482978175,0.02158124999999999,Brassicaceae,subsp1
P52,-1.1045061884839238,0.02144374999999999,Not plant-isolated,subsp1
P49,-1.1026669532508993,0.02206875,Other dicots,notInSubsp
P59,-1.0697993537190051,0.022299999999999993,Brassicaceae,subsp2
P14,-1.0675039121388956,0.0218375,Other dicots,subsp1
P26,-1.058247994194112,0.022574999999999998,Brassicaceae,subsp1
P28,-1.0376102434664736,0.02309375,Brassicaceae,subsp1
P63,-1.036814050479528,0.022850000000000002,Brassicaceae,subsp1
P67,-1.0205689571356396,0.022919999999999982,Other dicots,subsp2
P4,-1.0140137635690267,0.023206249999999998,Other dicots,subsp1
P16,-1.011322329644595,0.022068749999999998,Brassicaceae,subsp1
P5,-1.0082287998950479,0.02327333333333333,Solanaceae,subsp1
P51,-0.987825805629587,0.023,Not plant-isolated,subsp1
P60,-0.9827222267752236,0.023675,Brassicaceae,subsp2
P68,-0.95606397501827,0.023846666666666662,Brassicaceae,subsp1
P18,-0.910720933315503,0.02415625,Brassicaceae,subsp1
P143,-0.896739820223803,0.023549999999999995,Brassicaceae,subsp1
P50,-0.8842328115076666,0.02516874999999999,Monocots,subsp2
P12,-0.8820873537376054,0.025526666666666666,Other dicots,subsp2
P43,-0.8130962945244484,0.025724999999999998,Brassicaceae,subsp1
P21,-0.7760143534947104,0.02726874999999999,Solanaceae,subsp2
P20,-0.7498314750026455,0.024606666666666655,Rosaceae,subsp2
P47,-0.719496767394021,0.027440000000000003,Other dicots,notInSubsp
P31,-0.7091913824064928,0.02722,Other dicots,subsp2
P421,-0.6912825274338271,0.02827999999999999,Brassicaceae,subsp1
P54,-0.679243918253025,0.029206249999999996,Other dicots,subsp2
P61,-0.6623843244054614,0.02768749999999999,Rosaceae,subsp1
P44,-0.6292088485693152,0.02895625,Other dicots,subsp1
P32,-0.5507836288136554,0.030737499999999994,Fabaceae,subsp1
P65,-0.5222626185482132,0.030743749999999993,Brassicaceae,subsp2
P45,-0.4993269174376404,0.03164666666666667,Monocots,subsp1
P29,-0.4378846194243013,0.03263333333333334,Brassicaceae,subsp1
P41,-0.3639363641629782,0.032393333333333336,Other dicots,subsp1
P30,-0.3555449779188844,0.034075,Not plant-isolated,P. plurivora
P40,-0.18175161068491363,0.036860000000000004,Not plant-isolated,notInSubsp
P22,-0.18065107148504983,0.03653125,Rosaceae,subsp2
P117,-0.1076703460156923,0.03808124999999999,Brassicaceae,P. plurivora
P66,-0.09612840542952421,0.03838125,Solanaceae,subsp1
P48,-0.09525518810094111,0.0381125,Solanaceae,subsp1
P64,0.2155831359639734,0.044524999999999995,Monocots,P. delsorboi
