,index,Treatment,Plant,SFW,Replicate,order,Continent,HostFamily,HostGroup,Dunnett_p,Hedges' g
0,0.0,MOCK,1.0,0.0515,R1,-1.0,,,,,
1,3.0,MOCK,4.0,0.0418,R4,-1.0,,,,,
2,3.0,MOCK,4.0,0.0254,R8A,-1.0,,,,,
3,2.0,MOCK,3.0,0.033100000000000004,R6A,-1.0,,,,,
4,1.0,MOCK,2.0,0.0498,R8A,-1.0,,,,,
5,0.0,MOCK,1.0,0.0678,R8A,-1.0,,,,,
6,3.0,MOCK,4.0,0.0175,R7B,-1.0,,,,,
7,2.0,MOCK,3.0,0.0325,R7B,-1.0,,,,,
8,1.0,MOCK,2.0,0.034,R7B,-1.0,,,,,
9,0.0,MOCK,1.0,0.0212,R7B,-1.0,,,,,
10,0.0,MOCK,1.0,0.0344,R5,-1.0,,,,,
11,1.0,MOCK,2.0,0.030199999999999998,R5,-1.0,,,,,
12,2.0,MOCK,3.0,0.0562,R5,-1.0,,,,,
13,3.0,MOCK,4.0,0.0349,R5,-1.0,,,,,
14,3.0,MOCK,4.0,0.0459,R7A,-1.0,,,,,
15,2.0,MOCK,3.0,0.0686,R7A,-1.0,,,,,
16,1.0,MOCK,2.0,0.064,R7A,-1.0,,,,,
17,0.0,MOCK,1.0,0.0127,R7A,-1.0,,,,,
18,3.0,MOCK,4.0,0.023100000000000002,R6B,-1.0,,,,,
19,2.0,MOCK,3.0,0.0322,R6B,-1.0,,,,,
20,1.0,MOCK,2.0,0.0158,R6B,-1.0,,,,,
21,0.0,MOCK,1.0,0.018,R6B,-1.0,,,,,
22,0.0,MOCK,1.0,0.037,R6A,-1.0,,,,,
23,1.0,MOCK,2.0,0.0332,R6A,-1.0,,,,,
24,2.0,MOCK,3.0,0.07529999999999999,R4,-1.0,,,,,
25,1.0,MOCK,2.0,0.0509,R4,-1.0,,,,,
26,2.0,MOCK,3.0,0.0239,R8A,-1.0,,,,,
27,1.0,MOCK,2.0,0.0232,R9,-1.0,,,,,
28,1.0,MOCK,2.0,0.0498,R1,-1.0,,,,,
29,2.0,MOCK,3.0,0.0451,R1,-1.0,,,,,
30,3.0,MOCK,4.0,0.031,R1,-1.0,,,,,
31,0.0,MOCK,1.0,0.0301,R3,-1.0,,,,,
32,1.0,MOCK,2.0,0.0417,R3,-1.0,,,,,
33,2.0,MOCK,3.0,0.0203,R3,-1.0,,,,,
34,3.0,MOCK,4.0,0.0381,R3,-1.0,,,,,
35,3.0,MOCK,4.0,0.0314,R9,-1.0,,,,,
36,2.0,MOCK,3.0,0.0415,R9,-1.0,,,,,
37,0.0,MOCK,1.0,0.0495,R4,-1.0,,,,,
38,0.0,MOCK,1.0,0.0391,R9,-1.0,,,,,
39,3.0,MOCK,4.0,0.0759,R8C,-1.0,,,,,
40,2.0,MOCK,3.0,0.0533,R8C,-1.0,,,,,
41,3.0,MOCK,4.0,0.005900000000000001,R6A,-1.0,,,,,
