,strain,Growth difference,PhyloGroup,HostGroup,Continent of isolation
0,P1,-0.25037384972653204,subsp2,Not plant-isolated,Europe
1,P10,-0.3740505022648292,subsp2,Other dicots,Europe
2,P11,-0.3904702194357365,subsp2,Monocots,Europe
3,P117,-0.7646602345909344,P. plurivora,Brassicaceae,Europe
4,P12,-0.42495958338988715,subsp2,Other dicots,Europe
5,P13,-0.467207380284488,subsp2,Other dicots,Europe
6,P14,-0.29566984771385557,subsp1,Other dicots,Europe
7,P143,0.0667571013744485,subsp1,Brassicaceae,Europe
8,P15,-0.17370343723370832,subsp1,Other dicots,Europe
9,P16,-0.27090084715846474,subsp1,Brassicaceae,Europe
10,P17,-0.07458984444286323,subsp1,Not plant-isolated,Europe
11,P18,-0.0745353859772674,subsp1,Brassicaceae,Europe
12,P19,-0.24857886230754497,subsp1,Brassicaceae,Europe
13,P2,-0.7152159406333242,subsp2,Other dicots,Europe
14,P20,-0.6841056784070666,subsp2,Rosaceae,Europe
15,P21,-0.44784432741291513,subsp2,Solanaceae,Europe
16,P22,-0.7202735076537922,subsp2,Rosaceae,North America
17,P23,-0.2290431753164672,notInSubsp,Not plant-isolated,North America
18,P24,-0.38234100439149493,subsp1,Brassicaceae,Europe
19,P25,-0.27418268710565724,subsp1,Brassicaceae,Europe
20,P26,-0.21690982315378293,subsp1,Brassicaceae,Europe
21,P27,-0.19706813490621897,subsp1,Brassicaceae,Europe
22,P28,-0.19318822219625054,subsp1,Brassicaceae,Europe
23,P29,-0.36747082386175345,subsp1,Brassicaceae,Europe
24,P3,-0.2417008554128223,subsp2,Solanaceae,Europe
25,P30,-0.3224971712171006,P. plurivora,Not plant-isolated,North America
26,P31,-0.11327697215743883,subsp2,Other dicots,North America
27,P32,-0.19636194811651797,subsp1,Fabaceae,North America
28,P33,-0.10390796861572793,subsp1,Fabaceae,North America
29,P34,-0.02194176304476547,subsp1,Fabaceae,North America
30,P340,-0.1027403683925195,subsp1,Brassicaceae,Europe
31,P35,-0.19817232689752307,subsp1,Cucurbitaceae,North America
32,P36,-0.22167817731261785,subsp1,Cucurbitaceae,North America
33,P38,-0.036236388273066834,subsp1,Cucurbitaceae,North America
34,P39,-0.1470187801456154,subsp1,Cucurbitaceae,North America
35,P4,-0.011695942829214665,subsp1,Other dicots,North America
36,P40,-0.44808326026035883,notInSubsp,Not plant-isolated,Europe
37,P41,-0.13328347190533896,subsp1,Other dicots,Europe
38,P42,-0.07278892290314874,subsp1,Marchantiaceae,North America
39,P421,-0.08114618866944683,subsp1,Brassicaceae,Europe
40,P43,-0.24573876284332705,subsp1,Brassicaceae,Europe
41,P44,-0.2597258518352868,subsp1,Other dicots,Europe
42,P45,-0.2033597731264403,subsp1,Monocots,Europe
43,P455,-0.3067392277280706,subsp1,Brassicaceae,Europe
44,P46,-0.8803179735447371,subsp2,Unknown,Europe
45,P47,-0.5541923661038166,notInSubsp,Other dicots,Europe
46,P48,-0.446449652221055,subsp1,Solanaceae,Oceania
47,P49,-0.2779133121910042,notInSubsp,Other dicots,Oceania
48,P5,-0.2597503810713921,subsp1,Solanaceae,North America
49,P50,-0.2641443360196453,subsp2,Monocots,Oceania
50,P51,-0.013511247797916336,subsp1,Not plant-isolated,Unknown
51,P52,-0.18918561180697316,subsp1,Not plant-isolated,Unknown
52,P54,0.06405178103924303,subsp2,Other dicots,Asia
53,P55,-0.11211997390224754,subsp2,Cucurbitaceae,Asia
54,P56,-0.07304656331421706,subsp2,Solanaceae,Asia
55,P57,0.07769722724439436,subsp2,Cucurbitaceae,Asia
56,P58,0.0364235943033171,subsp2,Brassicaceae,Asia
57,P59,-0.1415065571913832,subsp2,Brassicaceae,Asia
58,P6,-0.1383116529696554,subsp1,Other dicots,Africa
59,P60,-0.07843105675844186,subsp2,Brassicaceae,Asia
60,P61,-0.1848620482742536,subsp1,Rosaceae,Asia
61,P612,-0.31040135411109654,subsp1,Brassicaceae,Europe
62,P62,-0.19998081686443506,subsp2,Cucurbitaceae,Asia
63,P63,-0.11595848324520887,subsp1,Brassicaceae,Asia
64,P64,0.5467145778082878,P. delsorboi,Monocots,Asia
65,P65,-0.09995529044538,subsp2,Brassicaceae,Asia
66,P66,-0.22140058312378733,subsp1,Solanaceae,Asia
67,P67,-0.13670665658334027,subsp2,Other dicots,Asia
68,P68,-0.2378637561135116,subsp1,Brassicaceae,Europe
69,P7,-0.7911302006946093,subsp2,Cucurbitaceae,Europe
70,P8,-0.2728391806676429,subsp2,Not plant-isolated,Europe
71,P9,0.038948335809641965,subsp2,Other dicots,North America
