,strain,25 degrees,30 degrees,replicate,Growth difference
0,P1,9.874,6.8629999999999995,R2,-0.3049422726352036
1,P2,7.475,1.999,R2,-0.7325752508361203
2,P3,7.966,6.6739999999999995,R2,-0.1621893045443134
3,P4,6.645,8.185,R2,0.2317531978931529
4,P5,9.532,8.09,R2,-0.15127989928661353
5,P6,8.777000000000001,7.917000000000001,R2,-0.09798336561467474
6,P7,7.191,2.313,R2,-0.6783479349186483
7,P8,7.777,4.596,R2,-0.40902661694740905
8,P9,7.205,8.753,R2,0.21485079805690493
9,P10,9.45,7.218,R2,-0.23619047619047615
10,P11,7.611000000000001,,R2,
11,P12,12.645,8.512,R2,-0.32684855674179514
12,P13,10.612,6.414,R2,-0.39558989822842067
13,P14,10.280999999999999,7.682,R2,-0.25279642058165536
14,P15,9.604,7.695,R2,-0.1987713452728029
15,P16,11.798,6.705,R2,-0.43168333615867094
16,P17,10.245999999999999,9.795,R2,-0.044017177435096505
17,P18,8.35,8.012,R2,-0.04047904191616757
18,P19,10.999,8.262,R2,-0.24884080370942813
19,P20,7.718,1.6159999999999999,R2,-0.7906193314330138
20,P21,7.912999999999999,5.409,R2,-0.31644129912801716
21,P22,10.335,3.097,R2,-0.7003386550556363
22,P23,9.555,7.829,R2,-0.18063840920983779
23,P24,8.272,6.965,R2,-0.15800290135396522
24,P25,11.356,8.13,R2,-0.28407890102148636
25,P26,7.876,5.482,R2,-0.30396140172676483
26,P27,12.956,10.603,R2,-0.18161469589379436
27,P28,9.002,8.746,R2,-0.028438124861141993
28,P29,8.894,6.955,R2,-0.21801214301776478
29,P30,9.588,6.3420000000000005,R2,-0.3385481852315393
30,P31,12.11,10.182,R2,-0.1592072667217175
31,P32,8.709,7.058,R2,-0.18957400390400733
32,P33,9.195,7.082000000000001,R2,-0.22979880369766173
33,P34,8.349,8.597999999999999,R2,0.029823931009701612
34,P35,10.494000000000002,8.144,R2,-0.22393748808843159
35,P36,9.062999999999999,7.996,R2,-0.11773143550700635
36,P38,9.316,9.713,R2,0.04261485616144251
37,P39,10.203,9.398,R2,-0.07889836322650198
38,P40,6.468,4.126,R2,-0.36209029066171916
39,P41,10.043,8.267000000000001,R2,-0.17683958976401457
40,P42,9.214,8.231,R2,-0.10668547861949212
41,P43,8.774,7.135,R2,-0.18680191474811939
42,P44,10.615,7.356,R2,-0.30701837023080547
43,P45,12.082,12.569,R2,0.04030789604370138
44,P46,7.006,0.7929999999999999,R2,-0.8868113045960605
45,P47,8.488,3.847,R2,-0.5467719132893497
46,P48,8.884,7.346,R2,-0.1731202161188654
47,P49,6.103,3.903,R2,-0.360478453219728
48,P50,10.503,9.166,R2,-0.12729696277254116
49,P51,8.375,8.167,R2,-0.02483582089552241
50,P52,13.937000000000001,11.767999999999999,R2,-0.15562890148525524
51,P53,11.329,8.238,R2,-0.27283961514696803
52,P54,6.184,7.385,R2,0.19421086675291066
53,P55,10.282,10.026,R2,-0.024897879789924162
54,P56,10.259,9.943,R2,-0.030802222438834265
55,P57,6.5920000000000005,8.825,R2,0.33874393203883474
56,P58,7.521,7.992999999999999,R2,0.06275761201967817
57,P59,10.48,8.841000000000001,R2,-0.1563931297709923
58,P60,10.844000000000001,8.982000000000001,R2,-0.17170785687938028
59,P61,9.061,7.309,R2,-0.19335614170621343
60,P62,9.121,11.126,R2,0.2198223878960639
61,P63,9.892000000000001,9.418,R2,-0.04791750909826142
62,P64,5.664,9.761000000000001,R2,0.7233403954802262
