0,MEROPS,Orthogroup
mpi|P14|90043|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_43,"A2,A28,A32",OG0000000
mpi|P14|1200102|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_102,"A2,A28,A32",OG0000000
mpi|P14|1900399|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_399,"A2,A28,A32",OG0000000
mpi|P14|1400146|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_146,"A2,A28,A32",OG0000000
mpi|P14|1400148|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_148,"A2,A28,A32",OG0000000
mpi|P14|16003|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_3,"A2,A28,A32",OG0000000
mpi|P14|1700590|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_590,"A2,A28,A32",OG0000000
mpi|P14|1700591|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_591,"A2,A28,A32",OG0000000
mpi|P14|1700833|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_833,A2,OG0000000
mpi|P14|1700835|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_835,"A2,A28,A32",OG0000000
mpi|P14|15001394|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1394,"A2,A28,A32",OG0000000
mpi|P14|15001653|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1653,"A2,A28,A32",OG0000000
mpi|P14|15001740|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1740,"A2,A28,A32",OG0000000
mpi|P59|7003|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_3,A2,OG0000000
mpi|P59|1400208|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_208,A2,OG0000000
mpi|P59|1400771|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_771,A2,OG0000000
mpi|P59|1400900|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_900,A2,OG0000000
mpi|P59|1300757|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_757,A2,OG0000000
mpi|P59|13001077|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1077,A2,OG0000000
mpi|P23|2800176|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_176,A2,OG0000000
mpi|P23|1900724|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_724,"A2,A28,A32",OG0000000
mpi|P34|3008|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_8,"A2,A28,A32",OG0000000
mpi|P34|200115|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_115,"A2,A28,A32",OG0000000
mpi|P34|600168|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_168,"A2,A28,A32",OG0000000
mpi|P34|600171|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_171,"A2,A28,A32",OG0000000
mpi|P34|40072|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_72,"A2,A28,A32",OG0000000
mpi|P34|7005|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_5,"A2,A28,A32",OG0000000
mpi|P34|8005|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_5,"A2,A28,A32",OG0000000
mpi|P34|800816|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_816,"A2,A28,A32",OG0000000
mpi|P34|500586|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_586,"A2,A28,A32",OG0000000
mpi|P34|13001459|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1459,"A2,A28,A32",OG0000000
mpi|P11|160017|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_17,A2,OG0000000
