,# Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction,Orthogroup
34850,mpi|P30|2001|Fgenesh_Torrubiella_hemipterigena|scaffold_2_gene_1,-,Y (0.871),-,Apoplastic effector,OG0000000
39948,mpi|P340|2001067|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_1067,Y (0.599),-,-,Cytoplasmic effector,OG0000000
425,mpi|P10|1400405|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_405,Y (0.566),Y (0.929),-,Apoplastic/cytoplasmic effector,OG0000018
809,mpi|P10|400469|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_469,Y (0.876),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
1050,mpi|P10|2500956|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_956,-,Y (0.891),-,Apoplastic effector,OG0000018
2158,jgi|P117|249372|gm1.11062_g,Y (0.834),Y (0.693),-,Cytoplasmic/apoplastic effector,OG0000018
2927,mpi|P11|1900172|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_172,Y (0.651),Y (0.663),-,Apoplastic/cytoplasmic effector,OG0000018
4096,mpi|P11|900477|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_477,Y (0.876),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
4137,mpi|P11|900923|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_923,-,Y (0.925),-,Apoplastic effector,OG0000018
4497,mpi|P12|2200102|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_102,Y (0.566),Y (0.929),-,Apoplastic/cytoplasmic effector,OG0000018
5125,mpi|P12|800478|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_478,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
5163,mpi|P12|800918|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_918,-,Y (0.891),-,Apoplastic effector,OG0000018
6095,mpi|P13|3000474|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_474,Y (0.871),Y (0.622),-,Cytoplasmic/apoplastic effector,OG0000018
6271,mpi|P13|1400396|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_396,-,Y (0.925),-,Apoplastic effector,OG0000018
6872,mpi|P13|3800406|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_406,-,Y (0.872),-,Apoplastic effector,OG0000018
7188,mpi|P143|200531|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_531,Y (0.557),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
7824,mpi|P143|2400494|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_494,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
8777,mpi|P14|1400504|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_504,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
8825,mpi|P14|1600406|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_406,Y (0.557),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
10097,mpi|P15|60037|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_37,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
10613,mpi|P15|1600420|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_420,Y (0.557),Y (0.96),-,Apoplastic/cytoplasmic effector,OG0000018
11773,jgi|P16|292698|fgenesh1_pg.1_#_453,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
12232,jgi|P16|332855|gm1.10305_g,Y (0.904),Y (0.753),-,Cytoplasmic/apoplastic effector,OG0000018
13034,mpi|P17|760039|Fgenesh_Torrubiella_hemipterigena|contig_76_gene_39,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
13246,mpi|P17|8400410|Fgenesh_Torrubiella_hemipterigena|contig_84_gene_410,Y (0.594),Y (0.815),-,Apoplastic/cytoplasmic effector,OG0000018
14644,mpi|P18|390038|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_38,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
14726,mpi|P18|72003|Fgenesh_Torrubiella_hemipterigena|contig_72_gene_3,Y (0.705),Y (0.852),-,Apoplastic/cytoplasmic effector,OG0000018
15630,mpi|P19|270048|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_48,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
16639,mpi|P19|6500193|Fgenesh_Torrubiella_hemipterigena|contig_65_gene_193,Y (0.705),Y (0.852),-,Apoplastic/cytoplasmic effector,OG0000018
17133,mpi|P1|1100483|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_483,Y (0.876),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
17175,mpi|P1|1100923|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_923,-,Y (0.925),-,Apoplastic effector,OG0000018
17233,mpi|P1|900528|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_528,Y (0.651),Y (0.663),-,Apoplastic/cytoplasmic effector,OG0000018
18693,mpi|P20|11500313|Fgenesh_Torrubiella_hemipterigena|contig_115_gene_313,-,Y (0.838),-,Apoplastic effector,OG0000018
18828,mpi|P20|1400353|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_353,Y (0.633),Y (0.932),-,Apoplastic/cytoplasmic effector,OG0000018
19242,mpi|P20|11600396|Fgenesh_Torrubiella_hemipterigena|contig_116_gene_396,Y (0.873),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
19942,mpi|P21|130039|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_39,Y (0.871),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
20322,mpi|P21|200516|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_516,Y (0.651),Y (0.663),-,Apoplastic/cytoplasmic effector,OG0000018
20796,mpi|P21|7001031|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1031,-,Y (0.877),-,Apoplastic effector,OG0000018
21638,mpi|P22|18005|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_5,-,Y (0.838),-,Apoplastic effector,OG0000018
21682,mpi|P22|120041|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_41,Y (0.877),Y (0.625),-,Cytoplasmic/apoplastic effector,OG0000018
23414,mpi|P23|900400|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_400,Y (0.872),Y (0.659),-,Cytoplasmic/apoplastic effector,OG0000018
24261,mpi|P24|3500236|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_236,Y (0.579),Y (0.823),-,Apoplastic/cytoplasmic effector,OG0000018
24941,mpi|P24|40001738|Fgenesh_Torrubiella_hemipterigena|contig_40_gene_1738,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
25564,mpi|P25|660095|Fgenesh_Torrubiella_hemipterigena|contig_66_gene_95,Y (0.871),Y (0.633),-,Cytoplasmic/apoplastic effector,OG0000018
25914,mpi|P25|6800136|Fgenesh_Torrubiella_hemipterigena|contig_68_gene_136,Y (0.978),Y (0.699),-,Cytoplasmic/apoplastic effector,OG0000018
27369,mpi|P26|1900207|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_207,Y (0.571),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000018
27594,mpi|P26|1100479|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_479,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
28940,mpi|P27|1200484|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_484,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
29480,mpi|P27|500544|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_544,Y (0.571),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000018
29977,mpi|P28|400306|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_306,Y (0.91),Y (0.55),-,Cytoplasmic/apoplastic effector,OG0000018
30801,mpi|P28|500727|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_727,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
31233,mpi|P29|370036|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_36,Y (0.872),Y (0.631),-,Cytoplasmic/apoplastic effector,OG0000018
31939,mpi|P29|1700527|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_527,Y (0.579),Y (0.823),-,Apoplastic/cytoplasmic effector,OG0000018
