Orthogroup,mean distance to transposon,conservation
OG0000000,5853.927573062262,broadlyConserved
OG0000001,28969.84888304862,sparselyDistributedOG
OG0000002,21475.042424242423,sparselyDistributedOG
OG0000003,39327.93525179856,core
OG0000004,63561.28727272727,broadlyConserved
OG0000005,97790.59437751005,broadlyConserved
OG0000006,215981.50236966825,broadlyConserved
OG0000007,75872.62559241705,subsp1
OG0000008,225664.82795698923,core
OG0000009,143336.78918918918,core
OG0000010,196465.4748603352,core
OG0000011,66006.22485207101,sparselyDistributedOG
OG0000012,202552.8260869565,core
OG0000013,125122.75862068965,core
OG0000014,119890.50877192983,core
OG0000015,120294.0,broadlyConserved
OG0000016,106823.57142857143,broadlyConserved
OG0000017,147371.88888888888,core
OG0000018,133366.73913043478,core
OG0000019,117615.8282208589,core
OG0000020,271016.0736196319,core
OG0000021,211323.8364779874,core
OG0000022,168021.34567901236,core
OG0000023,23178.695652173912,lowConservation
OG0000024,354093.8782051282,core
OG0000025,214340.68027210885,core
OG0000026,212141.6739130435,core
OG0000027,214264.30405405405,core
OG0000028,211008.3673469388,core
OG0000029,92939.55555555556,core
OG0000030,157979.51333333334,broadlyConserved
OG0000031,127906.34210526316,broadlyConserved
OG0000032,91297.28476821192,core
OG0000033,190875.42068965518,core
OG0000034,202918.1379310345,core
OG0000035,130568.33333333333,core
OG0000036,219494.73381294965,core
OG0000037,161764.34027777778,core
OG0000038,208447.97202797202,core
OG0000039,105523.1448275862,core
OG0000040,261628.39436619717,core
OG0000041,141531.53846153847,core
OG0000042,61238.78571428572,core
OG0000043,307396.61971830984,core
OG0000044,107016.82517482518,core
OG0000045,125895.54285714286,core
OG0000046,132417.4609929078,core
OG0000047,118150.60714285714,core
OG0000048,188268.90579710144,core
OG0000049,187150.384057971,core
OG0000050,79466.8115942029,core
OG0000051,190761.84426229508,core
OG0000052,129369.28148148148,core
OG0000053,189222.71317829457,core
OG0000054,180507.75939849624,core
OG0000055,127024.6618705036,core
OG0000056,124232.69402985074,core
OG0000057,89841.14814814815,core
OG0000058,63240.18248175183,core
OG0000059,176735.81751824816,core
OG0000060,56180.522388059704,sparselyDistributedOG
OG0000061,183145.45925925925,core
OG0000062,103320.73529411765,core
OG0000063,203746.38518518518,core
OG0000064,121088.47692307692,core
OG0000065,58541.01515151515,core
OG0000066,155529.01652892563,core
OG0000067,164868.19327731093,core
OG0000068,72528.90909090909,core
OG0000069,218175.91603053434,core
OG0000070,174304.14285714287,core
OG0000071,252957.73484848486,core
OG0000072,120178.67424242424,core
OG0000073,225619.29365079364,core
OG0000074,177643.20967741936,broadlyConserved
OG0000075,114602.59375,core
OG0000076,149089.52713178293,core
OG0000077,70264.8671875,core
OG0000078,270199.6220472441,core
OG0000079,226800.8650793651,broadlyConserved
OG0000080,166721.42063492062,broadlyConserved
OG0000081,199210.546875,core
OG0000082,249722.2857142857,core
OG0000083,136860.03937007874,core
OG0000084,248866.35433070865,broadlyConserved
OG0000085,188341.808,core
OG0000086,46633.32283464567,core
OG0000087,138160.7716535433,core
OG0000088,112369.14166666666,core
OG0000089,214184.11666666667,core
OG0000090,113598.77165354331,core
OG0000091,89779.703125,core
OG0000092,228575.54471544715,core
OG0000093,115242.86614173229,core
OG0000094,174790.87704918033,core
OG0000095,193754.72,core
OG0000096,129892.28346456694,core
OG0000097,133382.312,core
OG0000098,98409.32258064517,core
OG0000099,166897.936,broadlyConserved
OG0000100,166560.632,broadlyConserved
OG0000101,195046.70967741936,core
OG0000102,235630.5163934426,core
OG0000103,24513.539682539682,core
OG0000104,154555.784,core
OG0000105,216636.28225806452,core
OG0000106,82506.3870967742,core
OG0000107,96058.1138211382,core
OG0000108,157659.9105691057,core
OG0000109,130420.69166666667,core
OG0000110,51277.75,core
OG0000111,143515.0806451613,core
OG0000112,77199.25,core
OG0000113,102497.03539823009,core
OG0000114,190470.95901639343,core
OG0000115,236309.21774193548,core
OG0000116,46366.349593495936,core
OG0000117,127358.33870967742,core
OG0000118,168503.58536585365,core
OG0000119,205495.93388429753,core
OG0000120,102778.84297520661,core
OG0000121,100962.49137931035,core
OG0000122,66727.52845528456,core
OG0000123,93745.30327868853,broadlyConserved
OG0000124,71126.325,broadlyConserved
OG0000125,116766.76859504133,core
OG0000126,148212.5785123967,core
OG0000127,69473.13114754099,core
OG0000128,13236.172131147541,core
OG0000129,328995.725,core
OG0000130,173075.6779661017,broadlyConserved
OG0000131,213473.85593220338,core
OG0000132,142236.97478991596,core
OG0000133,139488.04132231406,core
OG0000134,141089.39669421487,core
OG0000135,309852.8333333333,core
OG0000136,102584.23076923077,core
OG0000137,228672.03305785125,core
OG0000138,11836.383333333333,broadlyConserved
OG0000139,131720.925,broadlyConserved
OG0000140,141548.35593220338,core
OG0000141,196820.76991150444,core
OG0000142,25409.95,core
OG0000143,192089.65546218486,core
OG0000144,185331.76666666666,core
OG0000145,60677.916666666664,core
OG0000146,169551.86607142858,core
OG0000147,106634.71171171172,core
OG0000148,215548.311827957,core
OG0000149,124353.51754385965,broadlyConserved
OG0000150,37109.71428571428,core
OG0000151,151590.69491525425,core
OG0000152,248553.7288135593,core
OG0000153,128997.6347826087,core
OG0000154,39418.02542372881,core
OG0000155,101288.34745762713,core
OG0000156,123943.08256880734,core
OG0000157,209107.74736842106,core
OG0000158,115255.29661016949,core
OG0000159,169972.75652173912,core
